iter	Logloss
0	0.6625487579
1	0.6318978651
2	0.6068550324
3	0.5892099601
4	0.5720169465
5	0.5448548797
6	0.5279972591
7	0.5072426023
8	0.4863720402
9	0.4711519652
10	0.4524099827
11	0.4359860127
12	0.4244087317
13	0.4118867068
14	0.4033564747
15	0.3941840801
16	0.384220225
17	0.3734557958
18	0.363094789
19	0.3517272578
20	0.34477553
21	0.3360774528
22	0.3306996201
23	0.3261220807
24	0.3198344471
25	0.3156213068
26	0.3079970389
27	0.3012059328
28	0.2973733074
29	0.2942288324
30	0.2894381761
31	0.2855948956
32	0.2825002421
33	0.2795362953
34	0.2756846054
35	0.2720506657
36	0.2685632554
37	0.2643879638
38	0.2614783999
39	0.2583097156
40	0.2549659234
41	0.2521072518
42	0.2505383739
43	0.2483642556
44	0.244943683
45	0.24233964
46	0.240314265
47	0.2383871971
48	0.2359931683
49	0.2330402127
50	0.2308615189
51	0.2292369685
52	0.2260537984
53	0.2239042382
54	0.2221847613
55	0.2189692965
56	0.2182572218
57	0.2161278739
58	0.2142370595
59	0.2120231946
60	0.2114203063
61	0.2098946198
62	0.2089204123
63	0.2080133172
64	0.2069146075
65	0.204295926
66	0.2023821896
67	0.2013434823
68	0.1992820062
69	0.1978476644
70	0.1954446502
71	0.1948100673
72	0.1928790721
73	0.1919837875
74	0.1907910456
75	0.1889116724
76	0.1861162576
77	0.1855808109
78	0.183989903
79	0.1829272587
80	0.1820859646
81	0.1817437538
82	0.1802047827
83	0.1781663759
84	0.1770339547
85	0.1765654802
86	0.1762292012
87	0.1745408828
88	0.1738647665
89	0.1722403481
90	0.1707989961
91	0.1686262182
92	0.1670795615
93	0.1667239197
94	0.166233269
95	0.1639614166
96	0.1631664394
97	0.1629704052
98	0.1624847526
99	0.1616798324
100	0.1603856391
101	0.1593518
102	0.1585066541
103	0.158284639
104	0.157872915
105	0.1569699344
106	0.1556868741
107	0.1551562695
108	0.1545729912
109	0.1536454553
110	0.1523723044
111	0.1520353683
112	0.1511905784
113	0.150141997
114	0.1493230922
115	0.1481190032
116	0.1474031288
117	0.1459871001
118	0.1457936301
119	0.1455626436
120	0.1450019976
121	0.1441611454
122	0.1436625479
123	0.1433397963
124	0.1431764926
125	0.1418672435
126	0.1414482764
127	0.140386163
128	0.1396490049
129	0.1389797162
130	0.138640792
131	0.138401296
132	0.1364836589
133	0.1354145222
134	0.1348619774
135	0.1346620721
136	0.1331240517
137	0.1328092055
138	0.1323867394
139	0.1310202474
140	0.1300071484
141	0.1294258578
142	0.1291753922
143	0.1284966648
144	0.1267018249
145	0.1254059123
146	0.1244150325
147	0.1242364888
148	0.1241000943
149	0.1232364091
